,nr. sessions,nr. rest days,total kms,max km one day,total km Z3-Z4-Z5-T1-T2,"nr. tough sessions (effort in Z5, T1 or T2)",nr. days with interval session,total km Z3-4,max km Z3-4 one day,total km Z5-T1-T2,max km Z5-T1-T2 one day,total hours alternative training,nr. strength trainings,avg exertion,min exertion,max exertion,avg training success,min training success,max training success,avg recovery,min recovery,max recovery,nr. sessions.1,nr. rest days.1,total kms.1,max km one day.1,total km Z3-Z4-Z5-T1-T2.1,"nr. tough sessions (effort in Z5, T1 or T2).1",nr. days with interval session.1,total km Z3-4.1,max km Z3-4 one day.1,total km Z5-T1-T2.1,max km Z5-T1-T2 one day.1,total hours alternative training.1,nr. strength trainings.1,avg exertion.1,min exertion.1,max exertion.1,avg training success.1,min training success.1,max training success.1,avg recovery.1,min recovery.1,max recovery.1,nr. sessions.2,nr. rest days.2,total kms.2,max km one day.2,total km Z3-Z4-Z5-T1-T2.2,"nr. tough sessions (effort in Z5, T1 or T2).2",nr. days with interval session.2,total km Z3-4.2,max km Z3-4 one day.2,total km Z5-T1-T2.2,max km Z5-T1-T2 one day.2,total hours alternative training.2,nr. strength trainings.2,avg exertion.2,min exertion.2,max exertion.2,avg training success.2,min training success.2,max training success.2,avg recovery.2,min recovery.2,max recovery.2,Athlete ID,rel total kms week 0_1,rel total kms week 0_2,rel total kms week 1_2,Date
0,3.437039191161015e-10,1.1147075970607823e-09,6.09077374091882e-08,2.5476488585418622e-08,-1.4895898188267264e-08,-8.071007411235525e-09,-8.53763285218359e-09,1.304745145121278e-08,1.010746625827228e-08,-2.558385214540947e-08,-1.6545908634710664e-08,3.894674975460562e-09,-1.900464345602662e-09,-4.742330470978543e-10,-2.9388428532346927e-10,-7.319933104239965e-10,-4.758935680299506e-10,-1.3151813406106348e-10,-5.324477010629359e-10,-2.673168227828895e-10,-9.060487707172924e-11,-5.519295925950582e-10,-2.8460696168864874e-08,2.4679995325792636e-08,-3.1562391449045963e-07,-3.847430918941245e-08,-7.062000071521067e-08,-1.1956445719803178e-08,-1.8380519339669082e-08,-3.322031572168904e-08,-2.171400161377594e-08,-4.494085810822768e-08,-3.037431346971735e-08,9.47872254671265e-09,-5.063196280045839e-09,-1.1062534027305003e-09,-3.6282274950769564e-10,-1.9556036882074904e-09,-1.4421506089024848e-09,-7.581478370418279e-10,-1.8186948497362369e-09,-7.572160914368121e-10,-3.2422944889695404e-10,-1.3534419065352815e-09,-6.660571998865034e-08,5.716050959755934e-08,-7.981129296642629e-07,-2.2394790863007705e-07,-1.509866468119798e-07,-1.502701147634961e-08,-2.7009430569782436e-08,-7.711587469691227e-08,-5.4825014876769416e-08,-6.52994747248097e-08,-4.365668312642017e-08,1.3697772741519644e-08,-7.147645883754658e-09,-2.798336588419091e-09,-1.1879918403835701e-09,-4.6636824525872995e-09,-4.22976890004311e-09,-2.787275115867302e-09,-5.175924038320613e-09,-2.3130711279220487e-09,-1.4394469190752925e-09,-3.41185164266834e-09,-7.488660747137586e-08,0.14950036263766603,0.8513900691914973,0.502776880580232,-2.541150912558169e-06
1,-1.2503467641165372e-08,9.957940361182693e-09,-1.3015506239444363e-07,9.469223738456378e-10,-5.7621467228728684e-08,-1.0182636497909876e-08,-1.3905758336995709e-08,-9.835779701547488e-09,-2.6667869653352808e-09,-4.1917462449878864e-08,-2.921241788020105e-08,6.704036474637659e-09,-5.459185650522367e-09,-5.321997388908084e-10,-2.6496713024573406e-10,-7.869479766330569e-10,-2.2329103055183977e-10,-4.084789553348848e-11,-3.3889456070019733e-10,-2.8751224702194607e-10,-8.741725629246166e-11,-5.036510916820579e-10,-8.609625713479682e-08,7.47305097350218e-08,-1.04842874233955e-06,-3.226103637924702e-07,-2.0297900255932972e-07,-1.5746077909029104e-08,-3.0574558987989426e-08,-1.0547009885453008e-07,-7.495566720304103e-08,-7.297460842989595e-08,-4.8351654282521034e-08,1.4505188994520905e-08,-7.543307088278323e-09,-3.6915055530479108e-09,-1.609901891240824e-09,-6.1095971393543456e-09,-5.901455702649795e-09,-4.0592789285087225e-09,-7.174749951488909e-09,-3.147965090968216e-09,-2.0648107817431928e-09,-4.5163779414801094e-09,-2.4660669905531546e-08,1.8502271168939437e-08,-2.7694042354285377e-07,-3.76717974305254e-08,-3.1417473160287073e-08,-6.0770936183005295e-09,-9.063681351917652e-09,-2.0021256380365468e-10,-4.399821425109405e-09,-2.5667927908616764e-08,-1.3693721545303334e-08,7.887683963573927e-09,-5.633729432822726e-09,-3.561329653251451e-10,-1.377781098511744e-11,-7.804986045844595e-10,1.388939797169472e-10,2.1935266032648256e-10,1.5179776338010078e-10,-2.1517353685756328e-10,-3.4579562440991314e-11,-4.322305004569523e-10,-3.6865965258171876e-08,0.9355927024747506,0.04269155857482318,-0.3504906930288499,-1.1010663220645566e-06
2,-5.309592952870827e-08,3.636419998453988e-08,-3.330973138426785e-07,1.9680748863937225e-08,3.829955556584712e-08,-4.413509963089173e-09,-2.60428835176929e-09,6.155462273439267e-08,3.5029351072508904e-08,-2.3742488334959575e-08,-4.631693692417177e-09,-1.0130312308894502e-08,-1.0557398956791512e-08,6.189891263288275e-10,5.730454900430079e-10,5.590172463143042e-10,1.068469087144444e-09,3.886901499955625e-10,1.5946035424528195e-09,-2.2539848347222754e-10,-1.4528069374120746e-10,-1.8924077927070507e-10,-1.8418675073290972e-08,1.3072382204217877e-08,3.491366776790103e-07,9.655144784165656e-08,1.5557830110104608e-07,-2.774062906998111e-09,2.7782605698992355e-09,7.477800292915912e-08,4.315573897469678e-08,-3.3559673465600846e-09,-4.8432329914301315e-09,-1.882666395740129e-08,-1.2793955543591266e-08,-1.6429429548815783e-09,-1.101921375453155e-09,-2.1442743321658655e-09,-2.4396631698137054e-09,-2.2662878397873727e-09,-2.4554192980407313e-09,-1.4798612931636005e-09,-1.161252332768725e-09,-1.7443859597506386e-09,-1.4708022794015862e-08,8.239692373442856e-09,6.572553525279705e-08,6.761652545411711e-08,3.8194666259505793e-08,1.777702324860315e-10,2.603081241573614e-09,3.89703871093122e-08,2.2476600475097073e-08,1.6812743839261392e-09,5.382108090032485e-09,-2.014930922985726e-08,-7.623250901707048e-09,1.0213482293386998e-11,6.144693014362134e-11,2.0833088879929355e-12,2.5184368065161777e-10,4.959952649880415e-11,3.145543060264826e-10,2.388882689719791e-10,2.383935641593005e-10,3.0639948386711983e-10,1.28026619290214e-07,0.3198686240396324,-0.5227928661519765,0.7901719322107956,1.239485818174239e-06
